INFO:tensorflow:loss = 3.91474, step = 17000 (86.589 sec)
INFO:tensorflow:loss = 3.8153527, step = 17100 (33.418 sec)
INFO:tensorflow:loss = 4.7452016, step = 17200 (33.394 sec)
INFO:tensorflow:loss = 4.6643777, step = 17300 (33.439 sec)
INFO:tensorflow:loss = 3.68358, step = 17400 (33.391 sec)
INFO:tensorflow:loss = 4.6688113, step = 17500 (33.433 sec)
INFO:tensorflow:loss = 4.3177357, step = 17600 (33.393 sec)
INFO:tensorflow:loss = 4.9238963, step = 17700 (33.444 sec)
INFO:tensorflow:loss = 3.604495, step = 17800 (33.377 sec)
INFO:tensorflow:loss = 4.1225066, step = 17900 (33.446 sec)
INFO:tensorflow:loss = 4.7767587, step = 18000 (37.130 sec)
INFO:tensorflow:loss = 4.3201246, step = 18100 (33.334 sec)
INFO:tensorflow:loss = 4.286043, step = 18200 (33.600 sec)
INFO:tensorflow:loss = 4.1708794, step = 18300 (33.401 sec)
INFO:tensorflow:loss = 4.5194836, step = 18400 (33.360 sec)
INFO:tensorflow:loss = 4.617882, step = 18500 (33.303 sec)
INFO:tensorflow:loss = 4.8529096, step = 18600 (33.399 sec)
INFO:tensorflow:loss = 4.175492, step = 18700 (33.365 sec)
INFO:tensorflow:loss = 5.2149353, step = 18800 (33.387 sec)
INFO:tensorflow:loss = 4.1208086, step = 18900 (33.432 sec)
INFO:tensorflow:loss = 5.201098, step = 19000 (87.689 sec)
INFO:tensorflow:loss = 3.842071, step = 19100 (31.509 sec)
INFO:tensorflow:loss = 4.337912, step = 19200 (31.557 sec)
INFO:tensorflow:loss = 4.61535, step = 19300 (31.339 sec)
INFO:tensorflow:loss = 3.5948956, step = 19400 (31.511 sec)
INFO:tensorflow:loss = 3.6418617, step = 19500 (31.641 sec)
INFO:tensorflow:loss = 4.8344193, step = 19600 (31.498 sec)
INFO:tensorflow:loss = 3.560561, step = 19700 (31.629 sec)
INFO:tensorflow:loss = 4.4550705, step = 19800 (31.538 sec)
INFO:tensorflow:loss = 4.8016863, step = 19900 (31.540 sec)
INFO:tensorflow:loss = 4.058186, step = 20000 (36.079 sec)
INFO:tensorflow:loss = 3.7816727, step = 20100 (31.589 sec)
INFO:tensorflow:loss = 4.447393, step = 20200 (31.765 sec)
INFO:tensorflow:loss = 4.4476304, step = 20300 (31.641 sec)
INFO:tensorflow:loss = 4.3204675, step = 20400 (31.558 sec)
INFO:tensorflow:loss = 4.0636716, step = 20500 (31.665 sec)
INFO:tensorflow:loss = 3.7850442, step = 20600 (31.650 sec)
INFO:tensorflow:loss = 4.987655, step = 20700 (31.806 sec)
INFO:tensorflow:loss = 3.8599854, step = 20800 (31.765 sec)
INFO:tensorflow:loss = 4.1515656, step = 20900 (31.806 sec)
INFO:tensorflow:loss = 4.049906, step = 21000 (86.670 sec)
INFO:tensorflow:loss = 4.4565444, step = 21100 (31.532 sec)
INFO:tensorflow:loss = 4.4735665, step = 21200 (31.593 sec)
INFO:tensorflow:loss = 3.74084, step = 21300 (31.596 sec)
INFO:tensorflow:loss = 4.488146, step = 21400 (31.653 sec)
INFO:tensorflow:loss = 4.2050214, step = 21500 (31.582 sec)
INFO:tensorflow:loss = 4.8640995, step = 21600 (31.591 sec)
INFO:tensorflow:loss = 3.6691093, step = 21700 (31.555 sec)
INFO:tensorflow:loss = 4.5047455, step = 21800 (31.569 sec)
INFO:tensorflow:loss = 2.9780025, step = 21900 (31.713 sec)
INFO:tensorflow:loss = 4.3837233, step = 22000 (35.856 sec)
INFO:tensorflow:loss = 4.6791487, step = 22100 (31.550 sec)
INFO:tensorflow:loss = 4.316689, step = 22200 (31.748 sec)
INFO:tensorflow:loss = 4.061608, step = 22300 (31.764 sec)
INFO:tensorflow:loss = 4.8662477, step = 22400 (31.754 sec)
INFO:tensorflow:loss = 3.7166708, step = 22500 (31.632 sec)
INFO:tensorflow:loss = 4.373015, step = 22600 (31.646 sec)
INFO:tensorflow:loss = 4.55768, step = 22700 (31.601 sec)
INFO:tensorflow:loss = 4.213972, step = 22800 (31.586 sec)
INFO:tensorflow:loss = 4.0998387, step = 22900 (31.686 sec)
INFO:tensorflow:loss = 3.9239686, step = 23000 (86.810 sec)
INFO:tensorflow:loss = 4.425601, step = 23100 (31.445 sec)
INFO:tensorflow:loss = 4.3168755, step = 23200 (31.637 sec)
INFO:tensorflow:loss = 4.3506255, step = 23300 (31.740 sec)
INFO:tensorflow:loss = 4.026778, step = 23400 (31.748 sec)
INFO:tensorflow:loss = 3.777398, step = 23500 (31.504 sec)
INFO:tensorflow:loss = 4.083095, step = 23600 (31.684 sec)
INFO:tensorflow:loss = 4.013257, step = 23700 (31.665 sec)
INFO:tensorflow:loss = 5.101343, step = 23800 (31.644 sec)
INFO:tensorflow:loss = 4.1791534, step = 23900 (31.667 sec)
INFO:tensorflow:loss = 4.4128795, step = 24000 (35.930 sec)
INFO:tensorflow:loss = 4.0394864, step = 24100 (31.621 sec)
INFO:tensorflow:loss = 3.4202204, step = 24200 (31.880 sec)
INFO:tensorflow:loss = 4.9972754, step = 24300 (31.708 sec)
INFO:tensorflow:loss = 3.5920513, step = 24400 (31.638 sec)
INFO:tensorflow:loss = 4.550469, step = 24500 (31.738 sec)
INFO:tensorflow:loss = 3.475542, step = 24600 (31.598 sec)
INFO:tensorflow:loss = 4.7578807, step = 24700 (31.590 sec)
INFO:tensorflow:loss = 4.5432487, step = 24800 (31.777 sec)
INFO:tensorflow:loss = 4.2317643, step = 24900 (31.610 sec)
INFO:tensorflow:loss = 4.609154, step = 25000 (86.682 sec)
INFO:tensorflow:loss = 4.794565, step = 25100 (31.560 sec)
INFO:tensorflow:loss = 4.1469517, step = 25200 (31.613 sec)
INFO:tensorflow:loss = 4.1291404, step = 25300 (31.493 sec)
INFO:tensorflow:loss = 4.5355387, step = 25400 (31.582 sec)
INFO:tensorflow:loss = 2.407071, step = 25500 (31.497 sec)
INFO:tensorflow:loss = 3.6790938, step = 25600 (31.689 sec)
INFO:tensorflow:loss = 4.068763, step = 25700 (31.666 sec)
INFO:tensorflow:loss = 4.524705, step = 25800 (31.615 sec)
INFO:tensorflow:loss = 4.3477793, step = 25900 (31.560 sec)
INFO:tensorflow:loss = 2.9759736, step = 26000 (35.859 sec)
INFO:tensorflow:loss = 4.7891493, step = 26100 (31.670 sec)
INFO:tensorflow:loss = 4.137242, step = 26200 (31.713 sec)
INFO:tensorflow:loss = 4.44986, step = 26300 (31.694 sec)
INFO:tensorflow:loss = 4.3700075, step = 26400 (31.693 sec)
INFO:tensorflow:loss = 4.997819, step = 26500 (31.687 sec)
INFO:tensorflow:loss = 5.07892, step = 26600 (31.770 sec)
INFO:tensorflow:loss = 3.9530034, step = 26700 (31.675 sec)
